t,root_x,root_y,root_z,action_min,action_max,action_mean
3.5420,1.903709,-0.127045,1.151448,-1.527164,4.130954,0.111675
3.5620,1.915219,-0.127015,1.158458,-2.007823,4.679212,0.118453
3.5820,1.927498,-0.127451,1.164738,-2.216438,5.054279,0.118153
3.6020,1.940255,-0.128013,1.170717,-2.221470,5.319731,0.103446
3.6220,1.953264,-0.128540,1.176542,-2.230305,5.429409,0.067700
3.6420,1.966306,-0.129475,1.182649,-2.178311,5.261717,0.024072
3.6620,1.979847,-0.131165,1.189503,-2.000689,4.826413,-0.023020
3.6820,1.994164,-0.133543,1.197403,-1.639811,4.049577,-0.062753
3.7020,2.008881,-0.136417,1.206754,-1.664817,3.269998,-0.084236
3.7220,2.023896,-0.139451,1.217454,-1.825493,2.637342,-0.070284
3.7420,2.039100,-0.142657,1.228911,-1.875513,2.249797,-0.041666
3.7620,2.054175,-0.146361,1.240801,-1.866196,2.656320,-0.009324
3.7820,2.069439,-0.150137,1.252718,-1.695604,3.108954,0.020525
3.8020,2.085097,-0.154453,1.264258,-1.406370,3.436897,0.044480
3.8220,2.100780,-0.159516,1.275929,-0.850024,3.804787,0.071789
3.8420,2.116301,-0.165624,1.288257,-0.508963,3.552794,0.107017
3.8620,2.131058,-0.172882,1.300085,-0.561018,1.283268,0.222206
3.8820,2.142568,-0.178729,1.312117,-0.720836,2.845517,0.219246
3.9020,2.153764,-0.184122,1.323936,-0.795958,3.625249,0.169361
3.9220,2.165006,-0.189466,1.335532,-0.867184,4.123489,0.109430
3.9420,2.176050,-0.194564,1.347124,-1.033688,4.752262,0.109692
3.9620,2.186941,-0.199261,1.358605,-1.211430,5.410855,0.147489
3.9820,2.197768,-0.203354,1.369822,-1.301163,5.638993,0.157579
4.0020,2.208285,-0.206991,1.380908,-1.547460,5.346657,0.142561
4.0220,2.218755,-0.210862,1.391228,-1.744914,4.982279,0.090072
4.0420,2.229579,-0.215110,1.399527,-1.803209,4.718983,0.053124
4.0620,2.240799,-0.219391,1.405167,-1.761546,4.653308,0.063042
4.0820,2.252202,-0.223212,1.408533,-1.674725,4.745990,0.091145
4.1020,2.263253,-0.225819,1.411130,-1.557630,4.632717,0.102936
4.1220,2.274295,-0.227281,1.414482,-1.426493,4.183564,0.098198
4.1420,2.285561,-0.228161,1.419198,-1.340775,3.618684,0.090065
4.1620,2.296874,-0.229025,1.424840,-1.367474,3.199880,0.092840
4.1820,2.308098,-0.229880,1.430315,-1.470087,2.976687,0.103670
4.2020,2.319370,-0.230426,1.434721,-1.595526,2.915725,0.120889
4.2220,2.330712,-0.230499,1.437692,-1.681814,2.796832,0.128250
4.2420,2.342155,-0.230157,1.439556,-1.731535,2.635881,0.129944
4.2620,2.353700,-0.229543,1.440795,-1.722856,2.380037,0.125583
4.2820,2.364918,-0.229224,1.442410,-1.683320,2.591903,0.125599
4.3020,2.375347,-0.229527,1.445545,-1.589084,2.883044,0.141656
4.3220,2.385269,-0.229862,1.450110,-1.527062,3.060703,0.151756
4.3420,2.395018,-0.229898,1.455700,-1.481909,3.182534,0.155983
4.3620,2.404836,-0.229624,1.461733,-1.430996,3.271337,0.150092
4.3820,2.414795,-0.229167,1.467700,-1.381515,3.337763,0.138393
4.4020,2.424848,-0.228637,1.473281,-1.329257,3.351562,0.124004
4.4220,2.435138,-0.228052,1.478345,-1.348484,3.401352,0.116154
4.4420,2.445732,-0.227433,1.483006,-1.301820,3.730817,0.125843
4.4620,2.456296,-0.226561,1.487745,-1.186274,4.142367,0.151082
4.4820,2.466042,-0.225398,1.493756,-1.029077,4.520718,0.180289
4.5020,2.475564,-0.223844,1.502140,-0.775300,4.684120,0.202722
4.5220,2.485457,-0.221424,1.512977,-0.780972,3.552869,0.187951
4.5420,2.495846,-0.218019,1.524667,-1.072129,2.220435,0.127543
4.5620,2.505985,-0.214619,1.535323,-1.154226,3.563586,0.118621
4.5820,2.516536,-0.211950,1.544825,-1.637270,4.157179,0.125203
4.6020,2.527799,-0.210050,1.553512,-2.081130,4.603004,0.138057
4.6220,2.539986,-0.208577,1.561867,-2.230404,4.977583,0.144123
4.6420,2.552729,-0.207432,1.569909,-2.230389,5.181417,0.117953
4.6620,2.565674,-0.206611,1.577683,-2.264897,5.146548,0.068553
4.6820,2.578845,-0.206194,1.585582,-2.211639,4.840966,0.022121
4.7020,2.592578,-0.206271,1.594099,-1.848565,4.148354,-0.010930
4.7220,2.606854,-0.206796,1.603754,-1.537052,3.332649,-0.048848
4.7420,2.621542,-0.207466,1.614549,-1.744470,2.573737,-0.053770
4.7620,2.636191,-0.208400,1.626413,-1.863734,2.688697,-0.037828
4.7820,2.650635,-0.209998,1.639164,-1.919133,3.158409,-0.013270
4.8020,2.665185,-0.212186,1.652485,-1.849470,3.393142,0.005466
4.8220,2.680246,-0.214746,1.666008,-1.553977,3.836550,0.026318
4.8420,2.695330,-0.217182,1.680382,-1.063754,4.382406,0.052878
4.8620,2.710570,-0.220633,1.695850,-0.573657,4.220283,0.097355
4.8820,2.726397,-0.225652,1.710501,-0.951724,1.946299,0.202106
4.9020,2.739314,-0.229994,1.723630,-0.663184,2.907462,0.243720
4.9220,2.750635,-0.233401,1.736403,-0.748079,3.731429,0.194396
4.9420,2.762023,-0.236929,1.748468,-0.821357,4.227358,0.137101
4.9620,2.773507,-0.240366,1.760160,-1.044930,4.793058,0.113148
4.9820,2.784897,-0.243486,1.771429,-1.389422,5.543894,0.157078
5.0020,2.796260,-0.246039,1.782018,-1.457427,5.734271,0.174781
5.0220,2.807414,-0.248140,1.792141,-1.579683,5.270535,0.158338
5.0420,2.818565,-0.250359,1.801579,-1.734746,4.858480,0.103281
5.0620,2.830201,-0.252823,1.809022,-1.732373,4.678193,0.068547
5.0820,2.842055,-0.254991,1.813976,-1.682855,4.561664,0.074894
5.1020,2.853993,-0.256334,1.817083,-1.581317,4.535677,0.084033
5.1220,2.866120,-0.256653,1.819262,-1.491146,4.357370,0.084061
5.1420,2.878447,-0.256198,1.821336,-1.437966,3.995126,0.077584
5.1620,2.890778,-0.255271,1.823788,-1.435534,3.553759,0.072546
5.1820,2.903141,-0.254192,1.826376,-1.506321,3.325714,0.084001
5.2020,2.915261,-0.252758,1.828981,-1.552908,3.105706,0.097702
5.2220,2.927325,-0.250932,1.831481,-1.609682,2.871031,0.101901
5.2420,2.939518,-0.248782,1.833713,-1.636046,2.553580,0.099742
5.2620,2.951796,-0.246330,1.835628,-1.624662,2.206870,0.090697
5.2820,2.963940,-0.243908,1.837590,-1.575013,2.068734,0.096519
5.3020,2.974947,-0.242308,1.841297,-1.480931,2.386093,0.121834
5.3220,2.985315,-0.241173,1.846726,-1.417306,2.635792,0.147862
